"adm3_2","lat","lon"
"الشبرقية",NA,NA
"الصويري",NA,NA
"المنصوره",NA,NA
"باب مارع",NA,NA
"تل ذنوب",NA,NA
"كفريا","33.670995","35.7366653"
"مشغره الفوقا","33.5271601","35.6497637"
"راشيا حي الفوقا",NA,NA
"راشيا حي الكواسبه",NA,NA
"راشيا حي الميدان","33.5000521","35.8416903"
"سلساتا",NA,NA
"كفرمشكي","33.5168415","35.7662528"
"ابلح","33.8668951","35.9593599"
"الفرزل التحتا",NA,NA
"الفرزل الفوقا","33.7934823","35.8226097"
"الكرمة","33.8263635","35.5969756"
"الوقف",NA,NA
"بتياس",NA,NA
"بوارج","33.8121017","35.8242794"
"حاجي حببلي",NA,NA
"حي السلم",NA,NA
"خضر بك",NA,NA
"دلهميه","33.8131909","35.9614355"
"زحلة الراسيه التحتا","33.8478045","35.894863"
"زحلة الراسيه الفوقا","33.8478045","35.894863"
"زحلة المعلقه الشمالي",NA,NA
"زحلة الميدان الشرقي",NA,NA
"زحلة حوش الزراعنه",NA,NA
"زحلة مار الياس",NA,NA
"زحلة وادي العرايش",NA,NA
"شتوره","33.8151459","35.8532639"
"قب الياس التحتا",NA,NA
"قب الياس الفوقا",NA,NA
"كابوسية",NA,NA
"كفرزبد","33.7855741","35.9946294"
"مريجات","33.8088874","35.817497"
"يوغون اولوك",NA,NA
"الغباطيه",NA,NA
"حيتوله - وادي الليمون","33.5222084","35.4741428"
"ريمات وشقاديف",NA,NA
"عاراي","33.5704482","35.5938007"
"قطين وحيداب",NA,NA
"مزرعة المطحنة",NA,NA
"البساتين","33.7582664","35.5295578"
"البص  قسم 1",NA,NA
"البص  قسم 3",NA,NA
"البص قسم 5",NA,NA
"الحميري",NA,NA
"الرشيديه","33.2379858","35.2190088"
"الظهيرة",NA,NA
"الكنيسه",NA,NA
"المالكية",NA,NA
"بثتيات",NA,NA
"جناته","40.891016","-74.145222"
"حناويه","33.2177","35.2730818"
"شبريحا","33.292424","35.2302177"
"شمع",NA,NA
"صور حي الارثوذكس",NA,NA
"صور حي الجامع",NA,NA
"صور حي الجورة",NA,NA
"صور حي الحسينية",NA,NA
"صور حي المصاروي",NA,NA
"صور حي الموارنة",NA,NA
"ارزي","33.3338004","35.2989083"
"القنيطرة","33.4783333","35.7883333"
"بنعفول","33.4820675","35.4209795"
"خرطوم","33.4079118","35.3750879"
"زيتا","33.5016078","35.4007218"
"كفرحتى","33.5068478","35.4497636"
"آسيا","33.854721","35.862285"
"الفتاحات وحربونا",NA,NA
"بجدرفل","34.4380625","35.8308233"
"بيت شلالا","34.223235","35.835875"
"دير بلا",NA,NA
"راشكده",NA,NA
"راشكيده",NA,NA
"شاتين","34.188531","35.8871277"
"عرتز",NA,NA
"عورا",NA,NA
"قندولا",NA,NA
"كور","34.2379175","35.7359159"
"مراح شديد ودير شواح",NA,NA
"مسرح والبقيعة",NA,NA
"نحلا",NA,NA
"اجد عبرين",NA,NA
"البحصاص",NA,NA
"بدبهون",NA,NA
"بدنايل","33.9124161","36.0143559"
"حارة الخاصة",NA,NA
"كفرعقا","34.2977865","35.8393605"
"القمامين","34.4214085","36.1395938"
"المطل","33.5038889","35.5355556"
"المنية","34.4788556","35.9325815"
"بحويتا","34.3369728","35.9688097"
"حرف الصياد",NA,NA
"دير عمار","34.4632185","35.8999073"
"سير",NA,NA
"قزحيا","34.2936877","35.9275964"
"مزرعة القرين",NA,NA
"نمرين","34.3855473","36.0499192"
"المغر وبلا",NA,NA
"بزعون","34.2422388","35.9872129"
"بشري حي السيدة","34.2506515","36.0117322"
"بشري حي المقدمين","34.2438917","36.0489083"
"بشري حي مار يوحنا",NA,NA
"حرف ارده",NA,NA
"زغرتا حي الصليب الجنوبي",NA,NA
"زغرتا حي المعاصر",NA,NA
"كفر صغاب","34.2790295","35.9623729"
"مزرعة التفاح","34.3226916","35.949697"
"مزرعة الفريديس","33.7096875","35.6736875"
"مزرعة حوقا",NA,NA
"الحدادين",NA,NA
"الحديد",NA,NA
"المهاترة","34.4336706","35.8441987"
"القصيبه",NA,NA
"النبطية التحتا حي البياض","33.3771878","35.4836029"
"النبطية التحتا حي السراي",NA,NA
"النبطية التحتا حي المسيحيين",NA,NA
"النبطية التحتا حي الميدان","33.3635334","35.4942246"
"سيني",NA,NA
"برعشيت","33.1753012","35.4439843"
"بنت جبيل حي البركه",NA,NA
"بنت جبيل حي الجامع",NA,NA
"بنت جبيل حي الحسينية",NA,NA
"بنت جبيل حي الحواره",NA,NA
"بنت جبيل حي عين الصغيرة",NA,NA
"دبل","33.1197637","35.3662267"
"صفد البطيخ","33.200119","35.4326763"
"عيتا الجبل","33.1758264","35.4053835"
"عين ابل حي الكنيسة",NA,NA
"يارون","33.0800529","35.4234897"
"المجيديه","33.9008468","35.5044138"
"حاصبيا حي السراي","33.3766118","35.4830941"
"حاصبيا حي العين","33.1115688","35.4017215"
"حاصبيا حي الفوقاني",NA,NA
"حاصبيا حي صفيفة",NA,NA
"الجديدة حي العيون",NA,NA
"الجديدة حي القلعة",NA,NA
"الجديدة حي المدارس",NA,NA
"الخيام غربي","33.3294156","35.6148503"
"القليعه","33.3271861","35.5654858"
"بويضة",NA,NA
"سرده والعمره",NA,NA
"البويضة الشمالية",NA,NA
"الزغرين",NA,NA
"الزويتيني",NA,NA
"الشربين",NA,NA
"الشواغير التحتا","33.6047222","35.4413889"
"الشواغير الفوقا",NA,NA
"الهرمل حي الحارة",NA,NA
"الهرمل حي الوقف",NA,NA
"الهرمل حي بديتا",NA,NA
"قنافذ",NA,NA
"مزرعة سجد",NA,NA
"وادي الرطل",NA,NA
"وادي العس",NA,NA
"وادي بنيت",NA,NA
"البرانيه حي المسيحيين",NA,NA
"البرباره محلة المسيحيين",NA,NA
"الجديده","33.8918998","35.5630426"
"الجوبانية",NA,NA
"الحدث الشمالي",NA,NA
"الحدث الغربي",NA,NA
"الحلانيه","33.8859143","36.0406494"
"الخريبه حي الجامع",NA,NA
"الخضر الغربي",NA,NA
"الخضر حي الاشعل",NA,NA
"الخضر حي الجنوبي",NA,NA
"الخضر حي الشعب",NA,NA
"الريش حي الشميس",NA,NA
"الريش حي الغربي",NA,NA
"السفري","33.9219897","36.0796158"
"الصوانية","32.0469653","35.7241963"
"العقيدية",NA,NA
"العلاق","33.5980556","35.9216667"
"الفاكهة حي الجامع",NA,NA
"الفاكهة حي مار جرجس","33.8606884","35.5249008"
"النبي شيت حي الجامع",NA,NA
"النبي شيت حي الجنوبي",NA,NA
"النبي شيت حي الشرقي",NA,NA
"النبي شيت حي الشمالي",NA,NA
"النبي شيت حي العريض",NA,NA
"النبي شيت حي العقبة",NA,NA
"النبي شيت حي طبشار",NA,NA
"النبي نعام","45.5194586","-73.6181089"
"النقرة","33.5736111","35.6638889"
"برقه",NA,NA
"بريتال اليونسية",NA,NA
"بريتال حي التين",NA,NA
"بيت ابو صليبي",NA,NA
"حزين","33.9712588","36.0928672"
"حور تعلا حي الشعب",NA,NA
"حور تعلا حي الوادي",NA,NA
"حور تعلا حي حقل العرجة",NA,NA
"حي الست",NA,NA
"حي الصلح",NA,NA
"دورس حي البير",NA,NA
"دورس حي الشحاديه",NA,NA
"رماسا","34.0444582","36.0301164"
"سرعين الفوقا حي الجامع",NA,NA
"سرعين الفوقا حي الحارة",NA,NA
"شعت حي الجامع",NA,NA
"شعت حي الضهر",NA,NA
"شمسطار الجنوبي","33.9640031","36.0183791"
"شمسطار الشمالي",NA,NA
"شمسطار الغربي","33.9640031","36.0183791"
"صبوبا",NA,NA
"طاريا الجنوبي",NA,NA
"طاريا الشمالي",NA,NA
"عين السوداء","34.0046528","36.1103761"
"غفره",NA,NA
"قصرنبا","33.9023278","36.0020629"
"قلد السبع",NA,NA
"قلعة غربي","34.0046888","36.2110399"
"قلعة","33.8395718","35.7299299"
"كفردان الغربي",NA,NA
"مزرعة آل سويدان",NA,NA
"مزرعة ابو صليبي",NA,NA
"مزرعة التوت","33.5514567","35.6983016"
"مزرعة الضليل",NA,NA
"مزرعة بيت مطر",NA,NA
"مصنع الزهرة","34.0109655","35.9973177"
"نبحا حي الجامع",NA,NA
"وادي الزين","33.6231761","35.4060172"
"وادي الصفا الشرقي",NA,NA
"وادي المشمشه",NA,NA
"وادي فعرة","34.2856671","36.3054921"
"الاشرفية","33.8868891","35.5191704"
"الرميل","33.8955657","35.5171463"
"الصيفي",NA,NA
"المزرعة",NA,NA
"المصيطبة","33.8836288","35.4955335"
"رأس بيروت","33.8989467","35.4733996"
"زقاق البلاط",NA,NA
"ميناء الحصن","33.9001818","35.4980791"
"المدور",NA,NA
"المرفأ","33.8981958","35.5121011"
"البطال",NA,NA
"الجليليه",NA,NA
"الفريديس",NA,NA
"الفواره",NA,NA
"المحتقره دير المخلص",NA,NA
"المعنيه",NA,NA
"المغيريه",NA,NA
"بعقلين التحتا","33.6789886","35.5581341"
"بعقلين الفوقا",NA,NA
"شحيم حي البدوي",NA,NA
"شحيم حي البيادر",NA,NA
"شحيم حي الجامع",NA,NA
"شحيم حي السهله",NA,NA
"شحيم حي الشريفة",NA,NA
"شحيم حي شحرور",NA,NA
"شوريت",NA,NA
"كليليه",NA,NA
"مجدلونا",NA,NA
"وادي الدير","34.2115248","35.8833264"
"وادي بنحليه",NA,NA
"الخله",NA,NA
"السفيله",NA,NA
"الشاويه والقنيطره",NA,NA
"الغابه",NA,NA
"المسقى","33.8836111","35.6463889"
"المشرع",NA,NA
"المكلس",NA,NA
"بيت شباب تحتاني",NA,NA
"سن الفيل حي البلده","33.8788486","35.537538"
"سن الفيل حي الجديد",NA,NA
"سن الفيل حي الحرج",NA,NA
"مار شعيا والمزكه","33.8951337","35.6450859"
"الشياح بئر العبد",NA,NA
"الشياح حي الكنيسة",NA,NA
"الشياح حي كرم الزيتون",NA,NA
"العربانية","33.8777842","35.6798397"
"الغبيري حي الجامع",NA,NA
"الليلكه",NA,NA
"المريجه",NA,NA
"بتخنيه","33.8407655","35.7180176"
"برج البراجنة حي السنديان",NA,NA
"برج البراجنة حي المنشية",NA,NA
"تحويطة النهر",NA,NA
"حارة حريك حي الرويس",NA,NA
"حارة حريك حي الكنيسة",NA,NA
"حارة حريك قرانوح",NA,NA
"الجليسه",NA,NA
"الخاربه",NA,NA
"الراموط",NA,NA
"الريحانة",NA,NA
"الصوانه","33.3766667","35.6847222"
"العاقورة - أ",NA,NA
"العاقورة - م",NA,NA
"الفيدار",NA,NA
"جنه ومار سركيس",NA,NA
"دملصا",NA,NA
"عنايا وكفربعال","34.1207322","35.7539443"
"قرطبا الجنوبية",NA,NA
"اغميد",NA,NA
"الشويفات حي الامراء",NA,NA
"الشويفات حي العمروسية",NA,NA
"الشويفات حي القبة","33.8036937","35.5088376"
"الكحالة",NA,NA
"بخشتيه",NA,NA
"بوزريده","33.8874672","35.5214355"
"حبرامون",NA,NA
"دوير الرمان",NA,NA
"عين تراز","33.7351225","35.5807934"
"كفر عميه",NA,NA
"الحصين",NA,NA
"السهيله","33.705","35.9525"
"العذرا",NA,NA
"القليعات",NA,NA
"النموره وكفر جريف",NA,NA
"شوان والعبره","34.0556867","35.7796017"
"غادير",NA,NA
"غزير الجامع",NA,NA
"غزير القناة",NA,NA
"غزير المعاملتين",NA,NA
"كفردبيان","34.0016861","35.8349062"
"هرهريا والقطين",NA,NA
"التليل",NA,NA
"الدوسه","34.5970643","36.2875491"
"الرامة","32.937112","35.366984"
"السويسه","34.556875","36.120398"
"العماير",NA,NA
"العوادة",NA,NA
"الفرض",NA,NA
"القبيات الذوق","34.569608","36.279943"
"القبيات الضهر",NA,NA
"القبيات القطلبه",NA,NA
"القبيات غوايا",NA,NA
"القبيات مرتموره",NA,NA
"القريات","31.4098181","37.2750748"
"المقيبله",NA,NA
"المونسة",NA,NA
"بني صخر",NA,NA
"بيت غطاس",NA,NA
"تل معيان",NA,NA
"جبل المنصورة",NA,NA
"حكر الشيخ طابا",NA,NA
"رجم عيسى",NA,NA
"زوق الحبالصه","34.5211741","36.0357772"
"زوق المقشرين","34.4228487","35.8430722"
"ضهر القنبر",NA,NA
"قبولا","34.5335397","36.1817487"
"قليعات","33.9721809","35.7138112"
"قنية",NA,NA
"كفر الفتوح",NA,NA
"كفرنون",NA,NA
"كوشا",NA,NA
"مشيلحة حاكوره",NA,NA
